"id","idade","faixa_idade","genero","estado","uf","regiao","faixa_salarial","cargo","nivel","forma_trabalho","aws","gcp","azure","oracle_cloud","ibm_cloud","on_premise","cloud_propria","lang_sql","lang_r","lang_python","lang_c","lang_dotnet","lang_java","lang_julia","lang_sas_stata","lang_vba","lang_scala","lang_matlab","lang_php","lang_javascript","bi_powerbi","bi_qlik","bi_tableau","bi_metabase","bi_looker","bi_google_data_studio","bi_so_excel","bi_nenhuma"
"qkx4q0ei90wcjxnqkx4q0j3xgf0zn13s","38","35-39","Masculino","Ceará (CE)","CE","Nordeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zdl2n19yhgpnoaco6kkczdl2nwv9zwrt","39","35-39","Masculino","Bahia (BA)","BA","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vsamqp2un3q7us84mgvsams5fulsmcoh","30","30-34","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v31ab41botodnsv31zgg4k34zzojy81l","38","35-39","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ubhu8ntvm4xc0sfkdubhu80e973eek0k","36","35-39","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"isz60pt4c22u98xjzztisz6qzaa0fikw","","55+","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rcxg4kxm9ow0u54hrcxgxkzcd50ib9dk","24","22-24","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 3.001/mês a R$ 4.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95glgjuiaf07xh95g4qt3ufh62qh0bos","51","50-54","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nc3chpdm6n3rtgib20inc3chp9psycoz","39","35-39","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kw6mzziiifjl1q7nikw628l4at14q8jr","27","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ifl4ogkur82u2e77cv9ifl4og3xaut1y","42","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 30.001/mês a R$ 40.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gxvzjaqhdjpozukq257egxvzjaq70zp8","45","45-49","Masculino","Goiás (GO)","GO","Centro-oeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fvroa15ig3e212soy5fvroazhchyl3by","40","40-44","Masculino","Paraná (PR)","PR","Sul","de R$ 20.001/mês a R$ 25.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fk4ytpz65h2oz71fk4ytpvhrybvck2rz","26","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"p6e1wwjc19xsq6p6ernbqrg8p78h2for","28","25-29","Masculino","Mato Grosso (MT)","MT","Centro-oeste","de R$ 3.001/mês a R$ 4.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k7cg05i1i6fu9bzjlik7cg05iw0xq9fa","43","40-44","Masculino","Mato Grosso do Sul (MS)","MS","Centro-oeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ap54nhpaxrtfantap54n545rmn2g714o","27","25-29","Masculino","Distrito Federal (DF)","DF","Centro-oeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bjala4ipvuhta5z50jabja75ptc735h1","53","50-54","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9h0qj4hro1c3hu34l96r19h0qj4h506l","25","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89br3jbvclfhtwaydl89br3jqooydfnj","37","35-39","Masculino","Sergipe (SE)","SE","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"797hisu5odzvdu7ymbzfzbq5797hisub","38","35-39","Masculino","Distrito Federal (DF)","DF","Centro-oeste","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4bvcfib22n1vqfkq4bvcfxswiidnmepc","29","25-29","Masculino","Goiás (GO)","GO","Centro-oeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3mp5l0rzzcib53m0tr8ulvij8ldcelok","46","45-49","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2kr6mx1ela2zu24nxf2kr6ca0yvp0gm9","34","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"y9dh05swm0ig9kv2qsurpdky9dh0s3zu","27","25-29","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7wm2pmd3113vghlsl7wm2pldgsj1poz1","32","30-34","Feminino","São Paulo (SP)","SP","Sudeste","Acima de R$ 40.001/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ow7vlsfgx7rmgvvow4cmnzwinspblahh","43","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kv844vwc9fnc7icenh7ph6dkv844vwcr","34","30-34","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80lp5xu2s5aue1c9rmz80lp5dei3nc60","33","30-34","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33hdko40rt8p12t1mbhn62s33hdko4eh","46","45-49","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 25.001/mês a R$ 30.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3fgszlrdd72ve5e6y23fgssra77g98zm","43","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iqgcgz2lsmeqbx939iqgcda5afcmii4i","38","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0lvkp4kfw7q3oi0lvk8ddwt8wkmgig1a","37","35-39","Masculino","","","Norte","de R$ 30.001/mês a R$ 40.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sf3qcyidym1alkzqk51tsf3qczy7i94m","21","17-21","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ejvqb5qoz31zngejvqbmuaer9d54cvcn","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2yj72i5g8d2qd2yj7028nmphm3e750r4","33","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
